"id","Season","Opponents","Result","Shots_on_target_against","Goals_conceded","Saves","Save_percentage","Post_shot_expected_goals","Post_shot_expected_goals_without_conceded_goals","Passes_launched","Passes_attempted","Pass_completion_percent","Gk_passes_attempted_without_goal_kicks","Throws_attempted","Launch_percentage","Avg_length","Crosses_faced","Crosses_stopped","Crosses_stopped_percent","Def_actions_outside_pen_area","Avg_distance_of_def_actions"
264,"2022-2023","Cádiz","W",0,0,0,0,0,0.0,5,8,"62.5%",30,4,"20.0%",25.1,10,20,"23.0%",12,1
265,"2022-2023","de Bayern Munich","L",4,2,2,"50.0%",2,0.0,8,11,"72.7%",39,5,"23.1%",29.2,6,33.3,"34.3%",5,0
266,"2022-2023","Elche","W",1,0,1,"100.0%",0,0.0,0,0,"%",18,4,"0.0%",17.8,1,0,"35.0%",2,0
267,"2022-2023","Mallorca","W",3,0,3,"100.0%",0.5,+0.5,4,7,"57.1%",26,7,"15.4%",28.2,7,42.9,"41.0%",14,0
268,"2022-2023","it Inter","L",2,1,1,"50.0%",0.5,-0.5,5,7,"71.4%",21,3,"23.8%",29.9,5,40,"35.6%",8,0
269,"2022-2023","Celta Vigo","W",3,0,3,"100.0%",0.5,+0.5,4,10,"40.0%",33,4,"21.2%",30.3,5,60,"39.2%",14,0
270,"2022-2023","it Inter","D",8,3,5,"62.5%",4,+1.0,4,5,"80.0%",17,7,"17.6%",24.6,4,50,"39.3%",15,0
271,"2022-2023","Real Madrid","L",4,3,1,"50.0%",1.4,-1.6,5,5,"100.0%",22,1,"18.2%",27.2,6,16.7,"23.8%",5,0
272,"2022-2023","Villarreal","W",1,0,1,"100.0%",0,0.0,1,1,"100.0%",16,1,"0.0%",23.4,5,20,"27.4%",2,0
273,"2022-2023","Athletic Club","W",1,0,1,"100.0%",0.4,+0.4,4,10,"40.0%",51,6,"19.6%",28.4,4,0,"24.5%",8,2
274,"2022-2023","de Bayern Munich","L",7,3,4,"57.1%",2.5,-0.5,6,9,"66.7%",35,2,"20.0%",24.5,6,33.3,"32.5%",6,0
275,"2022-2023","Valencia","W",2,0,2,"100.0%",0.4,+0.4,10,13,"76.9%",40,7,"30.0%",32,4,25,"23.5%",9,1
